sku,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,policy,product_type
1wsssct8402,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,East End Jamaican Jerk Seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"East End Jamaican Jerk Seasoning (100g)

Jerk is a style of cooking native to Jamaica, in which meat is dry-rubbed or wet marinated with a hot spice mixture called Jamaican jerk spice. The meat is normally chicken and the main ingredients of the spicy jerk marinade sauce are allspice and Scotch bonnet peppers. 

A blend of spices full of aroma & flavour. A subtle blend of herbs and spices designed to create an all-purpose seasoning suitable for poultry, dark meat, fish and vegetables. Suitable for vegetarians!",0.59,,,,normal
1wsssct8403,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,East End Hot Peri Peri Rub (100g),https://worldshops.co.uk/assets/front/img/no-img.png,"East End Hot Peri Peri Rub (100g)

Spicy Flavourful Rub for the perfect Peri Peri Chicken, try with other meat, fish and veg!

Instructions:
Generally rub 2 tbsp on 500g of poultry, meat or fish. Allow to stand in chiller for 2 hrs before grilling, roasting or BBQing.
Try sprinkled over potato wedges before cooking for an added spicy twist.

",0.79,,,,normal
1wsssct8404,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,East End Chicken Seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"East End Chicken Seasoning (400g)

A blend of pure spices full of aroma & flavour. East End's Chicken Seasoning has been selected for its high excellence in quality and taste. An authentic recipe of blended spices prepared from the best ingredients to enhance the flavour of poultry. Marinate by sprinkling on to poultry before cooking for total authenticity. 

Suitable for vegetarians!",1.29,,,,normal
1wsssct8405,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,East End Barbeque Seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"East End Barbeque Seasoning (100g)

Full of aroma & flavour. A subtle blend of herbs and spices designed to create an all-purpose seasoning suitable for poultry, dark meat, fish and vegetables. Suitable for vegetarians! Create the perfect barbeque flavour with this seasoning! ",0.59,,,,normal
1wsssct8406,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,East End All Purpose Seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"East End All Purpose Seasoning (Available in Different sizes) (100g or 400g)

A blend of spices full of aroma & flavour. A subtle blend of herbs and spices designed to create an all-purpose seasoning suitable for poultry, dark meat, fish and vegetables. Suitable for vegetarians!",0.59,,,,normal
1wsssct8407,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Rajah Masala Blends Biryani Masala,https://worldshops.co.uk/assets/front/img/no-img.png,"Rajah Masala Blends Biryani Masala is a delicious blend of aromatic spices, herbs and seasoning for the perfect Biryani! Expertly sourced & selected with No artificial flavours or colours. No preservatives or added MSG.

",0.69,,,,normal
1wsssct8408,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Rajah Hot And Spicy Seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"Rajah Hot And Spicy Seasoning (100g).

A blend of salt and spices specially formulated to enhance the flavour and add heat to a wide range of dishes. 

For best results allow 1-2 teaspoons per lb/454g of poultry or meat.  Rub or sprinkle Rajah Hot and Spicy Seasoning over both sides of the piece of meat, fish, or poultry before cooking.

",1.09,,,,normal
1wsssct8409,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Rajah Fish Seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"Rajah Fish Seasoning (100g).

A blend of salt and spices specially formulated to enhance the flavour of a wide range of fish dishes. Rajah Spices are of the highest quality & safety standards and are expertly sourced & selected. With no artificial colours and flavours this is a perfect seasoning. 

For best results allow 1-2 teaspoons per lb/454g of fish. Rub or sprinkle Rajah fish seasoning over both sides of fish before cooking.

Vegetarian Society Approved.

",1.09,,,,normal
1wsssct8410,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,"Rajah Chilli And Lemon Seasoning
",https://worldshops.co.uk/assets/front/img/no-img.png,"Rajah Chilli And Lemon Seasoning (100g).

Blend of Chilli and Lemon specially formulated to enhance the flavour of meat,  poultry and fish. Taste of home, No artificial colours, Vegetarian Society approved.  

For best results allow 1-2 teaspoons per lb/454g of poultry or meat.  Rub or sprinkle Rajah Chilli and Lemon Seasoning over both sides of the piece of meat, fish, or poultry before cooking.",1.09,,,,normal
1wsssct8411,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,"Rajah All Purpose Seasoning
",https://worldshops.co.uk/assets/front/img/no-img.png,"Rajah All Purpose Seasoning (100g).

Blend of salt, herbs, and spices specially formulated to enhance the flavour of meat,  poultry and fish. Taste of home, No artificial colours, Vegetarian Society approved.  

For best results allow 1-2 teaspoons per lb/454g of poultry or meat.  Rub or sprinkle Rajah All Purpose Seasoning over both sides of the piece of meat, fish, or poultry before cooking.",0.79,,,,normal
